2023-07-28 12:41:06,808 | __main__ | INFO | PPW = 3.0
2023-07-28 12:41:06,808 | __main__ | INFO | CFL = 0.3
2023-07-28 12:41:06,808 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 12:41:06,808 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 12:41:25,615 | __main__ | INFO | PPW = 3.0
2023-07-28 12:41:25,615 | __main__ | INFO | CFL = 0.3
2023-07-28 12:41:25,615 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 12:41:25,615 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 12:42:10,404 | __main__ | INFO | PPW = 3.0
2023-07-28 12:42:10,405 | __main__ | INFO | CFL = 0.3
2023-07-28 12:42:10,406 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 12:42:10,406 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 12:50:28,455 | __main__ | INFO | simulation_options
2023-07-28 12:50:28,455 | __main__ | INFO | execution_options
2023-07-28 12:50:28,455 | __main__ | INFO | kspaceFirstOrder3DG
2023-07-28 12:54:32,881 | __main__ | INFO | PPW = 3.0
2023-07-28 12:54:32,881 | __main__ | INFO | CFL = 0.3
2023-07-28 12:54:32,881 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 12:54:32,881 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 13:04:09,433 | __main__ | INFO | simulation_options
2023-07-28 13:04:09,433 | __main__ | INFO | execution_options
2023-07-28 13:04:09,433 | __main__ | INFO | kspaceFirstOrder3DG
2023-07-28 13:12:48,398 | __main__ | INFO | PPW = 3.0
2023-07-28 13:12:48,398 | __main__ | INFO | CFL = 0.3
2023-07-28 13:12:48,398 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 13:12:48,398 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 13:20:20,178 | __main__ | INFO | simulation_options
2023-07-28 13:20:20,178 | __main__ | INFO | execution_options
2023-07-28 13:20:20,178 | __main__ | INFO | kspaceFirstOrder3DG
2023-07-28 13:24:15,780 | __main__ | INFO | extract_amp_phase
2023-07-28 13:24:19,113 | __main__ | INFO | Max Pressure = 0.3881305307792682 MPa
2023-07-28 13:24:19,113 | __main__ | INFO | MI = 0.548899460599109
2023-07-28 13:24:19,113 | __main__ | INFO | Coordinates of max pressure: (13, 13, 55).
2023-07-28 13:24:19,114 | __main__ | INFO | Location of max pressure: (13.000000000000002, 13.000000000000002, 55.0).
2023-07-28 13:24:19,114 | __main__ | INFO | Isppa = 5.021510297433216 W/cm2
2023-07-28 13:24:19,114 | __main__ | INFO | Ispta = 502.1510297433216 mW/cm2
2023-07-28 13:33:19,715 | __main__ | INFO | PPW = 3.0
2023-07-28 13:33:19,716 | __main__ | INFO | CFL = 0.3
2023-07-28 13:33:19,717 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 13:33:19,718 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 13:41:04,526 | __main__ | INFO | PPW = 3.0
2023-07-28 13:41:04,526 | __main__ | INFO | CFL = 0.3
2023-07-28 13:41:04,527 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 13:41:04,528 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 13:41:14,901 | __main__ | INFO | PPW = 3.0
2023-07-28 13:41:14,901 | __main__ | INFO | CFL = 0.3
2023-07-28 13:41:14,901 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 13:41:14,901 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 13:52:19,865 | __main__ | INFO | simulation_options
2023-07-28 13:52:19,865 | __main__ | INFO | execution_options
2023-07-28 13:52:19,865 | __main__ | INFO | kspaceFirstOrder3DG
2023-07-28 13:54:50,657 | __main__ | INFO | PPW = 3.0
2023-07-28 13:54:50,672 | __main__ | INFO | CFL = 0.3
2023-07-28 13:54:50,672 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 13:54:50,672 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 13:55:33,386 | __main__ | INFO | PPW = 3.0
2023-07-28 13:55:33,386 | __main__ | INFO | CFL = 0.3
2023-07-28 13:55:33,388 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 13:55:33,389 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 14:08:00,514 | __main__ | INFO | simulation_options
2023-07-28 14:08:00,514 | __main__ | INFO | execution_options
2023-07-28 14:08:00,514 | __main__ | INFO | kspaceFirstOrder3DG
2023-07-28 14:21:10,267 | __main__ | INFO | PPW = 3.0
2023-07-28 14:21:10,267 | __main__ | INFO | CFL = 0.3
2023-07-28 14:21:10,267 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 14:21:10,267 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 14:31:06,529 | __main__ | INFO | simulation_options
2023-07-28 14:31:06,529 | __main__ | INFO | execution_options
2023-07-28 14:31:06,529 | __main__ | INFO | kspaceFirstOrder3DG
2023-07-28 14:37:23,531 | __main__ | INFO | extract_amp_phase
2023-07-28 14:37:32,938 | __main__ | INFO | Max Pressure = 0.54624981899494 MPa
2023-07-28 14:37:32,938 | __main__ | INFO | MI = 0.7725139024664923
2023-07-28 14:37:32,938 | __main__ | INFO | Coordinates of max pressure: (72, 72, 10).
2023-07-28 14:37:32,938 | __main__ | INFO | Location of max pressure: (72.00000000000001, 72.00000000000001, 10.0).
2023-07-28 14:37:32,938 | __main__ | INFO | Isppa = 9.946295491733492 W/cm2
2023-07-28 14:37:32,938 | __main__ | INFO | Ispta = 994.6295491733492 mW/cm2
2023-07-28 14:55:09,427 | __main__ | INFO | PPW = 3.0
2023-07-28 14:55:09,427 | __main__ | INFO | CFL = 0.3
2023-07-28 14:55:09,427 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 14:55:09,427 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 15:27:47,202 | __main__ | INFO | PPW = 3.0
2023-07-28 15:27:47,202 | __main__ | INFO | CFL = 0.3
2023-07-28 15:27:47,202 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 15:27:47,202 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 15:49:59,753 | __main__ | INFO | simulation_options
2023-07-28 15:49:59,753 | __main__ | INFO | execution_options
2023-07-28 15:49:59,753 | __main__ | INFO | kspaceFirstOrder3DG
2023-07-28 16:06:47,221 | __main__ | INFO | extract_amp_phase
2023-07-28 16:07:11,762 | __main__ | INFO | Max Pressure = 0.43973465792372946 MPa
2023-07-28 16:07:11,762 | __main__ | INFO | MI = 0.6218787170812318
2023-07-28 16:07:11,762 | __main__ | INFO | Coordinates of max pressure: (81, 81, 143).
2023-07-28 16:07:11,762 | __main__ | INFO | Location of max pressure: (81.0, 81.0, 143.00000000000003).
2023-07-28 16:07:11,762 | __main__ | INFO | Isppa = 6.445552312643312 W/cm2
2023-07-28 16:07:11,762 | __main__ | INFO | Ispta = 644.5552312643313 mW/cm2
2023-07-28 16:32:44,025 | __main__ | INFO | PPW = 3.0
2023-07-28 16:32:44,025 | __main__ | INFO | CFL = 0.3
2023-07-28 16:32:44,025 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 16:32:44,025 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
